,feature,importance
food_and_beverage_mom,food_and_beverage_mom,0.8498570932793421
non_food_and_services_mom,non_food_and_services_mom,0.40865213736072775
indian_cpi_mom,indian_cpi_mom,0.0009671890108876132
wholesale_price_index_mom,wholesale_price_index_mom,-0.0006977154684701959
