,feature,importance
1,non_food_and_services_mom,0.522711576815078
0,food_and_beverage_mom,0.451116367279514
4,broad_money_m2_mom,0.006221100532227491
6,private_sector_credit_mom,0.004840495987920357
3,indian_cpi_mom,0.0029787782732277716
2,wholesale_price_index_mom,0.002879257188278086
8,usd,0.002730392049447373
5,domestic_credit_mom,0.00245287155353811
7,policy_rate,0.0018994443642155366
10,crude_oil_prices,0.0013067307288320978
11,global_food_price_index,0.0008629852277212291
9,inr,0.0
